Data,Valor,Identificador,Descrição,Categoria
04/04/2024,-196.67,7751a318-e246-4369-98b1-6e1de60e3777,Conta de Terapia,Terapia
28/05/2024,-80.39,72647715-4dd5-4dca-93e2-5d7b9e37cb9b,Presentes - Pagamento,Presentes
10/06/2024,-125.55,e1d112d3-eebb-4460-9900-2ea47768b3db,Transferência enviada pelo Pix - Impostos,Impostos
28/07/2024,1771.33,c6f4a870-d70d-4c64-aec2-4bf741f0068d,Depósito - Restituição IR,Restituição IR
21/09/2024,-497.12,59c1504e-3551-4e62-93b7-789367a11d24,Conta de Plano de Saúde,Plano de Saúde
12/10/2024,-73.76,0e2284ae-2e5a-4729-a2a8-80da6eb97f12,Pets - Pagamento,Pets
28/06/2024,-160.93,d261921e-766d-4b12-ac16-7adc5d7eaefa,Compra no débito - Cosméticos,Cosméticos
09/12/2024,-40.68,4b17e7da-1a30-4133-ab6b-171e775ba161,Transferência enviada pelo Pix - Carrefour,Supermercado
28/04/2024,-222.95,9461e9b2-744f-49cd-8d7c-314b51e7dcbe,Transferência enviada pelo Pix - Energia Elétrica,Energia Elétrica
17/06/2024,-241.51,c2affe98-5d48-4d82-9ade-96580187683f,Transferência enviada pelo Pix - Enel,Energia Elétrica
21/05/2024,597.49,32e94425-aab4-4800-abaf-2f3e7f65bfcf,Resgate RDB,Investimentos
08/11/2024,-414.85,a6da69ea-0d25-47af-888c-8c071fea3971,Transferência enviada pelo Pix - Crianças,Crianças
09/05/2024,1818.87,1ffc5cf2-85fd-4846-9250-5dd6b6bc032d,PIX Recebido - Bonificação,Bonificação
23/09/2024,-1138.68,244955dc-f9f6-4d59-9ca2-44438638281a,Conta de Cartão de Crédito,Cartão de Crédito
25/08/2024,-238.45,cb18d030-fafc-42d0-bb1d-539c874357d8,Compra no débito - Outros,Outros
01/12/2024,-153.47,74899e21-0d74-4b3e-a56a-ace2dd5e092c,Transferência enviada pelo Pix - Multas,Multas
29/01/2024,-12.88,5358b4f6-db7d-4e1b-b552-b673a0cb154b,YouTube Premium - Plano Premium,Streaming
19/07/2024,-741.92,06b6bfe9-4d8a-4d21-8c57-cdf73ffff1a1,Compra no débito - Viagens,Viagens
14/05/2024,-130.5,63bb17bc-06ea-46e1-a6c6-1e6443023959,Compra no débito - Academia,Academia
16/09/2024,-64.72,5395079b-e5a3-4dbe-bb06-4ab78a14f7fa,Cabeleireiro - Pagamento,Cabeleireiro
21/10/2024,262.06,a6180855-ab10-4ae7-8eb3-1ba557e0d3f2,Resgate RDB,Investimentos
20/09/2024,-24.87,7077f935-17a8-4000-9d20-03ba677b5a99,Transferência enviada pelo Pix - Streaming,Streaming
