Data,Valor,Identificador,Descrição,Categoria
09/12/2024,-113.83,018b0419-d870-40c4-bab3-989cb2704ede,Transferência enviada pelo Pix - Bar de vinhos,Bares
29/04/2024,-336.32,79ac61bc-3757-48e9-b52c-0f56cb9f85eb,Compra no débito - Nike,Roupas
18/03/2024,758.41,bc748bf1-8335-447d-9d26-76e0296d0227,PIX Recebido - Renda extra,Renda Extra
01/04/2024,-410.94,38a13d2c-10e1-4311-a4d7-e57d936c422a,Compra no débito via NuPay - Multa por velocidade,Multas
26/03/2024,-46.73,97dec730-246e-4001-83dc-314b28871011,Compra no débito via NuPay - YouTube Premium,Assinaturas
10/10/2024,-997.73,1b10101c-bc4a-422a-ba1e-2cfc21e89393,Transferência enviada pelo Pix - Financiamento estudantil,Empréstimos
18/01/2024,-35.79,b8b79fe9-1849-4f34-8289-1f04c5179252,99 - Corrida,Transporte
18/06/2024,-1230.79,3d7b3ceb-e7bd-42b8-a320-4dc6ecbfd704,Transferência enviada pelo Pix - ITBI imóvel,Impostos
11/07/2024,-109.33,3582fa6c-76b8-474a-9e51-559d136e6291,Compra no débito via NuPay - Maquiagem Sephora,Cosméticos
25/11/2024,-2452.98,f01555e2-96c8-47c2-9ea3-20312a8383f6,XP Investimentos - Transferência,Investimentos
06/06/2024,-21.64,424ebc9f-cdee-46fc-88f9-54616347b59a,Uber - Transporte urbano,Transporte
23/01/2024,-164.79,4b87cb02-c68c-4454-a2a7-4719689e2e6d,Boliche,Lazer
22/07/2024,3673.14,36f3686f-65a7-4b26-bf52-18b7601a1619,CDB - Resgate,Investimentos
24/12/2024,-569.1,dab8820c-70bb-42f2-85b3-e8ec112f450e,Transferência enviada pelo Pix - Contribuição sindical,Impostos
17/09/2024,-2145.66,f7e53148-1d4f-4f03-b473-70b4d39cf2b1,Transferência enviada pelo Pix - Booking.com,Viagens
05/04/2024,-200.62,49881a58-222a-45a6-8320-20d7aec63d0b,Plano de saúde Prevent Senior,Plano de Saúde
13/01/2024,-28.09,828f3d14-6787-42c1-8b39-8eb49fa0d7ae,Transferência enviada pelo Pix - Taxa cartão de crédito,Taxas Bancárias
26/09/2024,-57.41,aca0a00e-252c-42d3-ad8c-f30ab78bf57a,Pagamento Amazon Prime via PIX,Streaming
20/06/2024,-106.23,7a00ac9b-771f-4805-8bb5-998e8584a415,Material didático,Material Escolar
03/12/2024,-1621.25,caad4700-5d46-47c7-ac0a-845bc0d203af,Aplicação automática,Poupança
23/09/2024,-328.32,b29f4b95-f7e3-4645-be6f-8d2422c688f3,Transferência enviada pelo Pix - Curso de idiomas,Cursos
18/05/2024,-643.25,818fc1f9-b783-46e1-9c9d-92bd3451c1fa,Compra no débito - ITBI imóvel,Impostos
18/04/2024,-310.35,bb0be3b9-ffe4-4175-beb7-e51b242114bd,Transferência enviada pelo Pix - Reserva aposentadoria,Previdência
10/05/2024,-40.42,964edf16-d209-43e3-a464-abde5babf646,Transferência enviada pelo Pix - Livro comprado na Amazon,Livros
19/08/2024,-119.89,4a776e5a-55d1-4fcb-9da9-777715f495d3,Adestramento,Pets
01/03/2024,-2463.64,804af0a8-ac61-4918-992b-b2225f3ec1a6,Transferência enviada pelo Pix - Fatura cartão Nubank,Cartão de Crédito
20/04/2024,-298.93,3f383c15-30d4-41c7-b414-c8c8cc6cfb08,Compra no débito via NuPay - Multa ambiental,Multas
27/01/2024,-83.73,645235da-56c5-4f44-b4f2-dddfb53d6334,PagSeguro - Mensalidade,Telefone
10/05/2024,-94.44,e646071b-cf59-4dfb-8104-1de4f34e1ebb,Sanepar - Conta de água,Água
13/07/2024,-333.48,43acf7e8-161b-41a8-b96f-3966a689aeac,Transferência enviada pelo Pix - Compra variada,Outros
06/12/2024,-170.25,a79a2aba-6c49-4c12-96fd-674dfdd76d9a,BIG - Mercado,Supermercado
18/03/2024,383.87,0d033e38-1141-40f0-9539-ee36f623b557,Transferência Recebida - Bonificação,Bonificação
08/10/2024,-106.58,cd43ab66-2c96-44d1-ad5f-aa6b9a5fcb00,Compra no débito - Coloração capilar,Cabeleireiro
11/03/2024,-569.34,6f417679-dba9-48ea-90c5-bf7936956558,Transferência enviada pelo Pix - Pediatra consulta,Crianças
26/06/2024,-19.7,9b74bfd0-7b4a-4bb2-b278-3aafec896ef9,Assinatura YouTube Premium,Streaming
01/05/2024,759.03,6948745e-495e-4ba2-8324-212d476137e9,Aplicação RDB,Investimentos
27/12/2024,-149.04,5fa76d03-8a3b-498f-a2a8-d5f394782697,Pagamento Iguá Saneamento via PIX,Água
09/05/2024,-697.0,5e8f0c5d-ec67-43e5-b83b-9132fda8f164,Transferência enviada pelo Pix - IPVA motocicleta,IPVA
25/08/2024,-111.92,182d931e-2143-42ca-b6bf-d6fb28e8db09,Transferência enviada pelo Pix - Perfume importado,Cosméticos
24/05/2024,-1361.47,9b072ae2-6e5a-4e8f-9279-3980f0b3e6b4,Conta poupança,Poupança
27/03/2024,-69.99,afa9976e-f0d3-402a-8d5d-93373f8d14fb,Transferência enviada pelo Pix - Estojo escolar,Material Escolar
22/02/2024,-2859.76,514d2cb0-f5cc-4d56-9bb7-95bc914aceb4,Hospedagem,Viagens
21/10/2024,-15.27,849be6f7-62aa-4562-b90b-4c41371cf052,Uber - Corrida,Transporte
27/04/2024,4534.93,d5fe3753-7aae-4cb5-ba9a-85c409e1b365,Transferência Recebida - Férias,Férias
08/06/2024,-75.59,d4a5fa30-0a16-4305-aa99-f176c35d27fe,Transferência enviada pelo Pix - Compra de livro didático,Livros
05/09/2024,5140.45,b0a0f089-d233-4068-a4de-1de0a482c0a2,Crédito em conta - Férias,Férias
24/06/2024,-54.98,683d3bd3-e649-4013-b98a-24ee19e04b69,McDonald's - Pedido,Alimentação
24/12/2024,-689.98,0fb2d89c-8a97-4eeb-8b90-2f8f2616e86c,Compra no débito via NuPay - Imposto veículo,IPVA
25/08/2024,2725.27,c40c87fc-97be-4260-956b-689c8d5969e7,Transferência - CDB,Investimentos
20/09/2024,-118.27,94824cea-ee1a-4974-91bb-f5b0b1a7d1bb,Transferência enviada pelo Pix - Material didático,Material Escolar
28/01/2024,-2049.97,18917158-5efe-46dc-8b94-cfc8fa53d803,Transferência - RDB,Investimentos
13/05/2024,-157.47,e6fbcd6a-61d8-4e3a-8bfd-09ff990c7ea2,Transferência enviada pelo Pix - Ultrafarma,Medicamentos
26/04/2024,-151.02,722c1094-497f-4d0d-b5fc-55f2c82da920,Transferência enviada pelo Pix - GNV,Combustível
01/12/2024,-369.11,63cb7e6e-aaf9-4566-9ec0-3afb2f4b2c5f,Compra no débito via NuPay - Walmart,Supermercado
15/04/2024,817.82,c89dcf0b-aa2a-42b8-80bb-9ecd96318480,Transferência Recebida - Comissão,Comissões
16/09/2024,1205.94,651f3ea1-3d41-4ba2-9b04-69aa59c6f77d,Depósito - Pensão recebida,Pensão Recebida
29/01/2024,-1503.13,f83496d5-9824-4fe3-af57-f3dffa526c2f,Compra no débito - Poupança programada,Poupança
29/09/2024,586.7,b4ad3064-13b4-4db2-ad39-7c8f58d0b6b2,Transferência Recebida - Renda extra,Renda Extra
